,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
28,Jurong (West),2020,4,29,16.4,15.2,15.2,16.4,28.0,32.7,25.0,6.3,32.4
29,Jurong (West),2020,4,30,26.6,18.2,20.6,20.6,27.2,32.9,24.6,5.2,30.2
0,Jurong (West),2021,4,1,0.0,0.0,0.0,0.0,29.1,32.3,26.7,11.8,41.1
1,Jurong (West),2021,4,2,0.0,0.0,0.0,0.0,29.1,35.1,26.3,6.4,30.2
2,Jurong (West),2021,4,3,96.0,28.2,48.2,62.4,27.3,33.0,23.3,5.4,30.6
3,Jurong (West),2021,4,4,55.0,20.8,41.8,77.8,27.1,32.8,22.5,6.3,28.5
4,Jurong (West),2021,4,5,26.4,19.4,24.6,25.6,26.3,31.8,22.1,5.5,46.1
5,Jurong (West),2021,4,6,8.4,8.0,8.4,8.4,27.1,33.4,23.9,5.6,30.2
6,Jurong (West),2021,4,7,0.4,0.2,0.2,0.2,27.8,34.2,23.6,6.2,41.9
7,Jurong (West),2021,4,8,0.4,0.4,0.4,0.4,27.6,33.7,25.0,5.6,32.0
8,Jurong (West),2021,4,9,0.0,0.0,0.0,0.0,27.4,32.5,23.8,6.1,41.1
9,Jurong (West),2021,4,10,0.0,0.0,0.0,0.0,28.5,33.9,24.7,5.4,27.0
10,Jurong (West),2021,4,11,0.0,0.0,0.0,0.0,28.9,33.6,25.5,6.1,23.7
11,Jurong (West),2021,4,12,14.4,13.0,14.2,14.2,28.5,33.6,22.7,6.6,30.9
12,Jurong (West),2021,4,13,0.2,0.2,0.2,0.2,28.0,32.4,25.8,5.5,24.8
13,Jurong (West),2021,4,14,0.0,0.0,0.0,0.0,28.1,32.7,25.2,6.4,34.6
14,Jurong (West),2021,4,15,0.2,0.2,0.2,0.2,26.7,33.5,24.0,5.2,27.4
15,Jurong (West),2021,4,16,0.4,0.2,0.2,0.2,27.3,30.9,24.4,4.3,20.6
16,Jurong (West),2021,4,17,121.0,48.4,79.6,103.8,25.1,30.2,21.9,5.1,38.5
17,Jurong (West),2021,4,18,0.2,0.2,0.2,0.2,27.0,33.7,23.6,5.4,30.6
18,Jurong (West),2021,4,19,0.0,0.0,0.0,0.0,27.0,29.7,25.3,5.9,28.5
19,Jurong (West),2021,4,20,1.0,1.0,1.0,1.0,28.4,33.0,24.7,6.2,23.3
20,Jurong (West),2021,4,21,21.0,13.6,19.6,20.6,28.4,33.1,25.0,6.3,23.7
21,Jurong (West),2021,4,22,2.2,2.0,2.0,2.0,26.5,29.2,24.3,6.6,24.4
22,Jurong (West),2021,4,23,0.8,0.8,0.8,0.8,27.4,30.7,23.1,7.6,29.8
23,Jurong (West),2021,4,24,8.6,3.0,5.2,7.6,26.0,28.9,23.5,6.4,44.6
24,Jurong (West),2021,4,25,0.0,0.0,0.0,0.0,28.8,33.8,25.0,5.2,21.3
25,Jurong (West),2021,4,26,30.8,15.2,21.4,22.6,26.6,32.8,23.4,4.8,29.4
26,Jurong (West),2021,4,27,2.4,1.6,2.0,2.0,26.8,32.8,24.7,4.9,19.8
27,Jurong (West),2021,4,28,2.2,1.0,1.4,2.2,27.6,31.3,25.0,5.6,25.6
28,Jurong (West),2021,4,29,0.2,0.2,0.2,0.2,27.9,35.1,25.5,5.7,30.9
29,Jurong (West),2021,4,30,8.6,6.4,6.4,6.4,27.0,32.0,25.1,5.3,27.4
0,Jurong (West),2019,8,1,0.0,0.0,0.0,0.0,29.0,31.8,26.4,9.4,36.0
1,Jurong (West),2019,8,2,0.0,0.0,0.0,0.0,29.0,32.0,27.2,11.5,43.6
2,Jurong (West),2019,8,3,0.0,0.0,0.0,0.0,29.1,32.0,27.3,10.8,35.6
3,Jurong (West),2019,8,4,0.0,0.0,0.0,0.0,28.7,31.6,27.2,10.4,36.0
4,Jurong (West),2019,8,5,0.0,0.0,0.0,0.0,28.8,31.1,27.3,11.5,35.6
5,Jurong (West),2019,8,6,0.0,0.0,0.0,0.0,28.6,31.3,27.3,10.8,31.7
6,Jurong (West),2019,8,7,0.0,0.0,0.0,0.0,28.7,31.4,27.0,10.1,31.0
7,Jurong (West),2019,8,8,0.0,0.0,0.0,0.0,28.7,31.5,27.2,10.8,37.8
8,Jurong (West),2019,8,9,0.0,0.0,0.0,0.0,28.8,31.2,27.1,10.8,35.3
9,Jurong (West),2019,8,10,0.0,0.0,0.0,0.0,28.8,31.3,27.4,11.5,32.4
10,Jurong (West),2019,8,11,0.0,0.0,0.0,0.0,29.1,32.7,27.2,10.8,32.8
11,Jurong (West),2019,8,12,0.0,0.0,0.0,0.0,29.2,32.1,27.3,11.9,31.3
12,Jurong (West),2019,8,13,0.0,0.0,0.0,0.0,29.1,32.4,27.3,11.2,33.1
13,Jurong (West),2019,8,14,0.0,0.0,0.0,0.0,29.1,32.1,27.2,10.1,31.7
14,Jurong (West),2019,8,15,0.0,0.0,0.0,0.0,28.6,31.3,25.9,8.3,34.9
15,Jurong (West),2019,8,16,0.0,0.0,0.0,0.0,29.4,32.1,27.4,11.2,37.1
16,Jurong (West),2019,8,17,0.2,0.2,0.2,0.2,28.7,31.1,25.7,10.8,36.0
17,Jurong (West),2019,8,18,0.0,0.0,0.0,0.0,29.0,32.7,27.5,13.0,37.1
18,Jurong (West),2019,8,19,0.0,0.0,0.0,0.0,29.1,32.8,26.8,10.4,32.4
19,Jurong (West),2019,8,20,0.0,0.0,0.0,0.0,29.0,32.4,27.2,13.3,37.4
20,Jurong (West),2019,8,21,0.0,0.0,0.0,0.0,29.3,32.6,27.3,11.9,33.5
21,Jurong (West),2019,8,22,0.0,0.0,0.0,0.0,29.1,32.0,27.4,10.8,37.1
22,Jurong (West),2019,8,23,0.0,0.0,0.0,0.0,29.1,33.7,27.4,13.7,40.7
23,Jurong (West),2019,8,24,0.0,0.0,0.0,0.0,29.0,32.5,26.9,10.8,33.1
24,Jurong (West),2019,8,25,0.0,0.0,0.0,0.0,28.0,31.0,25.7,8.3,38.5
25,Jurong (West),2019,8,26,2.2,1.2,2.0,2.2,27.4,32.8,24.4,6.5,28.4
26,Jurong (West),2019,8,27,11.2,10.8,11.2,11.2,26.6,29.9,23.7,6.5,30.2
27,Jurong (West),2019,8,28,0.0,0.0,0.0,0.0,26.7,28.0,24.8,7.2,32.0
28,Jurong (West),2019,8,29,0.0,0.0,0.0,0.0,28.6,31.3,26.8,10.8,40.0
29,Jurong (West),2019,8,30,9.0,8.4,8.4,8.6,28.0,29.9,24.2,11.5,48.2
30,Jurong (West),2019,8,31,0.0,0.0,0.0,0.0,28.6,32.3,26.9,10.4,34.6
0,Jurong (West),2020,8,1,0.6,0.6,0.6,0.6,28.0,30.5,24.4,7.4,33.5
1,Jurong (West),2020,8,2,0.0,0.0,0.0,0.0,28.7,31.4,26.5,8.3,27.0
2,Jurong (West),2020,8,3,0.0,0.0,0.0,0.0,29.1,32.1,26.5,9.0,23.7
3,Jurong (West),2020,8,4,0.0,0.0,0.0,0.0,27.2,29.3,23.7,8.1,46.9
4,Jurong (West),2020,8,5,0.0,0.0,0.0,0.0,28.7,31.6,26.8,8.6,26.3
5,Jurong (West),2020,8,6,0.0,0.0,0.0,0.0,29.4,32.5,27.7,6.7,25.6
6,Jurong (West),2020,8,7,0.0,0.0,0.0,0.0,29.5,33.5,27.4,8.7,28.2
7,Jurong (West),2020,8,8,0.0,0.0,0.0,0.0,29.7,33.3,27.6,8.8,23.0
8,Jurong (West),2020,8,9,0.0,0.0,0.0,0.0,29.8,34.6,27.9,7.6,25.6
9,Jurong (West),2020,8,10,0.0,0.0,0.0,0.0,29.8,32.9,27.8,9.7,29.8
10,Jurong (West),2020,8,11,0.0,0.0,0.0,0.0,29.7,32.4,28.1,9.0,26.7
11,Jurong (West),2020,8,12,31.8,15.6,28.0,31.0,26.9,29.4,21.6,6.9,46.1
12,Jurong (West),2020,8,13,14.2,5.6,7.2,9.8,28.1,32.0,23.7,7.4,24.4
13,Jurong (West),2020,8,14,54.0,19.8,34.0,46.0,25.5,28.3,22.1,6.8,41.9
14,Jurong (West),2020,8,15,23.4,22.8,23.4,23.4,26.8,31.9,23.4,5.1,25.9
15,Jurong (West),2020,8,16,0.6,0.6,0.6,0.6,27.6,30.2,23.7,6.5,29.4
16,Jurong (West),2020,8,17,55.0,25.0,31.4,33.4,26.6,31.6,22.7,5.6,29.4
17,Jurong (West),2020,8,18,0.0,0.0,0.0,0.0,27.0,29.4,24.9,7.4,44.3
18,Jurong (West),2020,8,19,0.0,0.0,0.0,0.0,27.7,31.4,24.7,5.4,29.1
19,Jurong (West),2020,8,20,1.0,1.0,1.0,1.0,27.7,31.6,24.9,8.5,35.2
20,Jurong (West),2020,8,21,0.0,0.0,0.0,0.0,29.1,32.8,27.3,9.6,28.2
21,Jurong (West),2020,8,22,30.6,19.6,28.6,30.4,27.4,32.8,22.1,7.3,38.9
22,Jurong (West),2020,8,23,20.8,14.0,16.0,19.8,25.0,27.0,22.7,5.0,35.9
23,Jurong (West),2020,8,24,0.0,0.0,0.0,0.0,27.6,32.5,24.1,6.6,28.9
